subject,start,fps,mse,pearson,hr_pred_bpm,hr_gt_bpm,hr_abs_err_bpm,snr_db,amplitude_ratio
subject39,-1,30.000,0.82891,0.62661,84.00000,85.50000,1.50000,1.79206,0.18325
subject39,-1,30.000,0.75099,0.79152,82.50000,84.00000,1.50000,2.38094,0.20132
subject39,-1,30.000,0.76809,0.81550,87.00000,87.00000,0.00000,2.92548,0.17879
subject39,-1,30.000,0.75730,0.79694,87.00000,87.00000,0.00000,3.65786,0.19614
subject39,-1,30.000,0.74097,0.78808,87.00000,85.50000,1.50000,2.53933,0.21290
subject39,-1,30.000,0.81748,0.70891,84.00000,84.00000,0.00000,1.84216,0.17405
subject39,-1,30.000,0.77458,0.78375,84.00000,84.00000,0.00000,1.20487,0.18217
subject39,-1,30.000,0.72851,0.81222,79.50000,79.50000,0.00000,2.87452,0.20672
subject39,-1,30.000,0.75393,0.74555,87.00000,87.00000,0.00000,2.96864,0.21124
subject39,-1,30.000,0.72797,0.81223,85.50000,87.00000,1.50000,3.29166,0.21350
subject39,-1,30.000,0.73105,0.77840,82.50000,82.50000,0.00000,4.23731,0.22619
subject39,-1,30.000,0.88006,0.49601,84.00000,84.00000,0.00000,-2.03098,0.18732
subject39,-1,30.000,0.64534,0.85721,88.50000,87.00000,1.50000,2.04644,0.25964
subject1,-1,30.000,0.71598,0.61232,97.50000,94.50000,3.00000,1.19857,0.31861
subject1,-1,30.000,0.67917,0.62987,103.50000,102.00000,1.50000,3.18928,0.37064
subject1,-1,30.000,0.65965,0.65000,109.50000,111.00000,1.50000,-1.19167,0.37025
subject1,-1,30.000,0.62548,0.71480,111.00000,111.00000,0.00000,2.41161,0.35369
subject1,-1,30.000,0.72947,0.53952,114.00000,112.50000,1.50000,1.13414,0.42713
subject1,-1,30.000,0.53533,0.80905,106.50000,105.00000,1.50000,2.55704,0.37818
subject1,-1,30.000,0.65032,0.66797,111.00000,112.50000,1.50000,1.73097,0.36822
subject1,-1,30.000,0.66111,0.61883,109.50000,109.50000,0.00000,3.26992,0.42437
subject1,-1,30.000,0.72759,0.53586,108.00000,108.00000,0.00000,-0.82708,0.46008
subject1,-1,30.000,0.66761,0.65362,112.50000,112.50000,0.00000,2.51854,0.36765
subject4,-1,30.000,0.58411,0.71980,112.50000,112.50000,0.00000,1.73922,0.41064
subject4,-1,30.000,0.64536,0.66647,115.50000,117.00000,1.50000,0.65203,0.37156
subject4,-1,30.000,0.68611,0.59243,97.50000,99.00000,1.50000,-1.57386,0.40387
subject4,-1,30.000,0.56316,0.73956,118.50000,111.00000,7.50000,-4.16028,0.41356
subject4,-1,30.000,0.55694,0.75636,105.00000,103.50000,1.50000,1.55771,0.40026
subject4,-1,30.000,0.71420,0.55368,114.00000,114.00000,0.00000,2.25239,0.42554
subject4,-1,30.000,0.54747,0.75423,94.50000,97.50000,3.00000,-3.83396,0.41319
subject4,-1,30.000,0.51928,0.75527,105.00000,103.50000,1.50000,-0.01636,0.45663
subject4,-1,30.000,0.64218,0.63362,105.00000,105.00000,0.00000,1.48456,0.42624
subject35,-1,30.000,0.44320,0.78580,76.50000,76.50000,0.00000,1.91779,0.54838
subject35,-1,30.000,0.37038,0.82499,84.00000,84.00000,0.00000,3.85118,0.61207
subject35,-1,30.000,0.31984,0.86579,85.50000,85.50000,0.00000,1.89165,0.60685
subject35,-1,30.000,0.45584,0.74690,96.00000,97.50000,1.50000,3.51698,0.67764
subject35,-1,30.000,0.28287,0.85744,96.00000,96.00000,0.00000,3.29442,0.72320
subject35,-1,30.000,0.30338,0.84373,106.50000,105.00000,1.50000,1.97300,0.72236
subject35,-1,30.000,0.26547,0.86104,112.50000,114.00000,1.50000,3.70894,0.78414
subject35,-1,30.000,0.36647,0.79961,114.00000,114.00000,0.00000,4.30492,0.87476
subject35,-1,30.000,0.44068,0.75566,120.00000,120.00000,0.00000,4.97913,0.85018
subject35,-1,30.000,0.30685,0.83665,118.50000,118.50000,0.00000,3.63817,0.83525
subject35,-1,30.000,0.52242,0.71854,114.00000,114.00000,0.00000,4.79811,0.90217
subject35,-1,30.000,0.54437,0.69249,114.00000,115.50000,1.50000,4.06470,0.83886
subject35,-1,30.000,0.58344,0.68737,106.50000,106.50000,0.00000,3.84302,0.90775
subject9,-1,30.000,0.87551,0.40187,106.50000,105.00000,1.50000,-2.29114,0.21309
subject9,-1,30.000,0.73853,0.66450,96.00000,96.00000,0.00000,1.04160,0.24217
subject9,-1,30.000,0.68931,0.74417,106.50000,106.50000,0.00000,3.22311,0.25115
subject9,-1,30.000,0.67137,0.79583,118.50000,118.50000,0.00000,2.56159,0.24384
subject9,-1,30.000,0.69390,0.77698,118.50000,118.50000,0.00000,2.29884,0.23152
subject9,-1,30.000,0.71733,0.70585,109.50000,111.00000,1.50000,1.91935,0.24158
subject9,-1,30.000,1.02488,0.06953,124.50000,136.50000,12.00000,-10.10396,0.24178
subject9,-1,30.000,0.70822,0.75736,114.00000,112.50000,1.50000,1.67125,0.22696
subject9,-1,30.000,0.67483,0.79732,108.00000,108.00000,0.00000,2.32049,0.24005
subject9,-1,30.000,0.75269,0.70070,109.50000,109.50000,0.00000,1.29309,0.20723
subject9,-1,30.000,0.73470,0.75383,102.00000,102.00000,0.00000,1.66651,0.20366
subject9,-1,30.000,0.69197,0.74682,103.50000,103.50000,0.00000,2.63716,0.24737
subject9,-1,30.000,0.89532,0.35021,106.50000,103.50000,3.00000,-3.27137,0.21714
subject10,-1,30.000,0.59557,0.70243,102.00000,99.00000,3.00000,1.66045,0.40710
subject10,-1,30.000,0.63603,0.70363,87.00000,88.50000,1.50000,1.88907,0.34611
subject10,-1,30.000,0.64549,0.68949,99.00000,99.00000,0.00000,1.30812,0.34246
subject10,-1,30.000,0.74018,0.60291,105.00000,106.50000,1.50000,0.04251,0.28115
subject10,-1,30.000,0.71951,0.66624,114.00000,112.50000,1.50000,0.98417,0.26213
subject10,-1,30.000,0.69317,0.65046,118.50000,118.50000,0.00000,1.72177,0.30978
subject10,-1,30.000,0.79411,0.47389,121.50000,123.00000,1.50000,-2.10593,0.33757
subject10,-1,30.000,0.54137,0.84771,120.00000,118.50000,1.50000,3.38147,0.33788
subject10,-1,30.000,0.72722,0.65437,120.00000,120.00000,0.00000,3.58235,0.26042
subject10,-1,30.000,0.69091,0.68228,118.50000,118.50000,0.00000,1.32075,0.28788
subject10,-1,30.000,0.77073,0.51758,112.50000,115.50000,3.00000,-0.14200,0.32334
subject10,-1,30.000,0.70118,0.65154,112.50000,111.00000,1.50000,0.38704,0.29735
subject10,-1,30.000,0.75204,0.59170,103.50000,106.50000,3.00000,0.84853,0.27210
